# ACTS Test Suite Generation: Sat Feb 21 03:20:17 EST 2026
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 12
# Maximum number of values per parameter: 4
# Number of configurations: 121
file_existence,file_content,lexer,formatter,output,input_source,file_name_format,file_size,input_encoding,formatte_config,style_option,filter
exists,na,valid_match,invalid,restricted,file_path,no_ext,long_line,invalid,invalid_key,valid_builtin,raise_on_error
exists,na,valid_match,omitted,restricted,file_path,special_chars,massive,utf16_bom,ommited,valid_builtin,valid_filter
missing,na,valid_match,invalid,file_path,stdin,na,na,utf8_standard,ommited,invalid_style,valid_filter
exists,na,valid_mismatch,valid,stdout,file_path,standard_ext,typical,utf8_standard,valid_config,invalid_style,raise_on_error
na,na,valid_mismatch,valid,file_path,file_path,no_ext,long_line,utf16_bom,ommited,invalid_style,omited
na,na,valid_mismatch,invalid,stdout,file_path,special_chars,long_line,invalid,invalid_key,valid_builtin,omited
exists,na,valid_mismatch,valid,restricted,stdin,na,na,utf16_bom,malformed_syntax,ommited,raise_on_error
exists,na,invalid,valid,file_path,file_path,standard_ext,massive,utf16_bom,valid_config,valid_builtin,omited
na,na,invalid,invalid,stdout,file_path,no_ext,typical,utf8_standard,invalid_key,ommited,raise_on_error
exists,na,invalid,omitted,stdout,file_path,special_chars,long_line,invalid,malformed_syntax,invalid_style,raise_on_error
missing,na,invalid,valid,stdout,stdin,na,na,invalid,invalid_key,valid_builtin,omited
na,na,valid_mismatch,invalid,restricted,file_path,standard_ext,massive,utf16_bom,ommited,ommited,raise_on_error
exists,invalid_syntax,omitted,omitted,stdout,file_path,special_chars,massive,utf16_bom,invalid_key,invalid_style,omited
exists,invalid_syntax,omitted,omitted,file_path,file_path,no_ext,long_line,invalid,ommited,ommited,valid_filter
exists,valid_syntax,omitted,valid,file_path,file_path,special_chars,typical,utf8_standard,invalid_key,ommited,omited
missing,valid_syntax,valid_mismatch,valid,file_path,file_path,standard_ext,na,utf8_standard,malformed_syntax,valid_builtin,valid_filter
missing,invalid_syntax,valid_match,invalid,file_path,file_path,standard_ext,na,utf16_bom,ommited,invalid_style,raise_on_error
missing,na,invalid,omitted,restricted,file_path,standard_ext,na,utf16_bom,ommited,invalid_style,valid_filter
missing,valid_syntax,invalid,omitted,restricted,file_path,no_ext,na,utf8_standard,ommited,ommited,raise_on_error
missing,invalid_syntax,valid_mismatch,omitted,stdout,file_path,no_ext,na,invalid,valid_config,ommited,omited
missing,na,valid_mismatch,invalid,file_path,file_path,no_ext,na,utf8_standard,valid_config,ommited,valid_filter
missing,valid_syntax,invalid,invalid,stdout,file_path,special_chars,na,invalid,ommited,invalid_style,valid_filter
missing,invalid_syntax,valid_match,valid,restricted,file_path,special_chars,na,utf8_standard,valid_config,valid_builtin,raise_on_error
missing,na,omitted,omitted,restricted,file_path,special_chars,na,invalid,valid_config,invalid_style,valid_filter
na,na,valid_match,valid,restricted,file_path,no_ext,typical,utf16_bom,valid_config,ommited,omited
exists,invalid_syntax,valid_match,invalid,stdout,file_path,no_ext,long_line,utf8_standard,malformed_syntax,invalid_style,omited
na,na,omitted,omitted,file_path,file_path,standard_ext,typical,invalid,malformed_syntax,valid_builtin,valid_filter
na,valid_syntax,valid_match,valid,restricted,file_path,special_chars,massive,utf16_bom,malformed_syntax,ommited,raise_on_error
exists,valid_syntax,valid_mismatch,invalid,file_path,file_path,no_ext,typical,invalid,ommited,valid_builtin,omited
exists,invalid_syntax,invalid,invalid,restricted,file_path,special_chars,massive,invalid,ommited,ommited,omited
exists,na,invalid,valid,stdout,file_path,no_ext,long_line,utf16_bom,ommited,valid_builtin,valid_filter
na,valid_syntax,omitted,invalid,restricted,file_path,special_chars,massive,utf16_bom,valid_config,valid_builtin,raise_on_error
na,na,valid_match,omitted,stdout,file_path,no_ext,long_line,utf8_standard,valid_config,invalid_style,raise_on_error
exists,invalid_syntax,invalid,valid,restricted,file_path,standard_ext,typical,utf8_standard,malformed_syntax,invalid_style,omited
na,invalid_syntax,valid_mismatch,valid,stdout,file_path,standard_ext,massive,invalid,malformed_syntax,valid_builtin,valid_filter
exists,valid_syntax,valid_mismatch,invalid,file_path,file_path,special_chars,long_line,invalid,malformed_syntax,valid_builtin,raise_on_error
missing,valid_syntax,omitted,valid,restricted,stdin,na,na,utf8_standard,ommited,invalid_style,omited
na,na,omitted,omitted,stdout,file_path,no_ext,massive,utf8_standard,invalid_key,invalid_style,raise_on_error
exists,valid_syntax,valid_match,valid,file_path,file_path,special_chars,long_line,utf16_bom,invalid_key,invalid_style,raise_on_error
missing,invalid_syntax,valid_mismatch,omitted,file_path,stdin,na,na,invalid,invalid_key,invalid_style,valid_filter
exists,empty,invalid,omitted,stdout,stdin,na,na,utf8_standard,ommited,invalid_style,valid_filter
missing,valid_syntax,omitted,valid,stdout,file_path,standard_ext,na,utf8_standard,valid_config,ommited,omited
missing,invalid_syntax,omitted,valid,restricted,file_path,standard_ext,na,utf16_bom,invalid_key,valid_builtin,valid_filter
missing,valid_syntax,valid_match,omitted,file_path,file_path,no_ext,na,utf8_standard,invalid_key,valid_builtin,valid_filter
missing,empty,valid_mismatch,omitted,file_path,file_path,special_chars,na,invalid,invalid_key,valid_builtin,valid_filter
missing,na,omitted,valid,restricted,file_path,no_ext,na,invalid,malformed_syntax,ommited,raise_on_error
missing,na,valid_mismatch,omitted,stdout,file_path,special_chars,na,utf8_standard,malformed_syntax,ommited,omited
na,invalid_syntax,valid_match,invalid,stdout,stdin,na,na,utf16_bom,invalid_key,invalid_style,omited
exists,empty,valid_match,invalid,restricted,file_path,no_ext,na,utf16_bom,valid_config,ommited,valid_filter
missing,empty,invalid,invalid,file_path,stdin,na,na,invalid,malformed_syntax,valid_builtin,raise_on_error
missing,empty,valid_match,valid,file_path,file_path,standard_ext,na,invalid,ommited,valid_builtin,raise_on_error
exists,valid_syntax,omitted,invalid,stdout,file_path,no_ext,long_line,utf16_bom,ommited,ommited,raise_on_error
na,valid_syntax,valid_match,omitted,file_path,file_path,standard_ext,massive,utf8_standard,ommited,invalid_style,raise_on_error
na,invalid_syntax,invalid,omitted,file_path,file_path,special_chars,long_line,utf16_bom,valid_config,ommited,valid_filter
exists,invalid_syntax,omitted,omitted,stdout,file_path,no_ext,typical,utf16_bom,valid_config,valid_builtin,raise_on_error
na,na,valid_match,invalid,stdout,file_path,no_ext,massive,invalid,invalid_key,valid_builtin,valid_filter
na,valid_syntax,valid_match,valid,file_path,file_path,no_ext,typical,utf8_standard,ommited,invalid_style,valid_filter
na,empty,invalid,invalid,stdout,file_path,standard_ext,na,utf16_bom,malformed_syntax,ommited,valid_filter
na,valid_syntax,invalid,invalid,file_path,file_path,special_chars,massive,invalid,invalid_key,invalid_style,raise_on_error
na,invalid_syntax,invalid,invalid,restricted,file_path,special_chars,typical,invalid,valid_config,valid_builtin,valid_filter
na,na,valid_mismatch,omitted,file_path,file_path,special_chars,typical,invalid,invalid_key,invalid_style,valid_filter
exists,invalid_syntax,omitted,valid,restricted,stdin,na,na,invalid,ommited,ommited,valid_filter
na,na,invalid,invalid,restricted,file_path,special_chars,long_line,utf16_bom,invalid_key,invalid_style,valid_filter
na,invalid_syntax,valid_mismatch,invalid,file_path,file_path,no_ext,long_line,utf8_standard,valid_config,ommited,valid_filter
exists,valid_syntax,valid_mismatch,omitted,restricted,file_path,special_chars,massive,utf16_bom,valid_config,invalid_style,valid_filter
exists,empty,valid_mismatch,omitted,stdout,file_path,standard_ext,na,invalid,valid_config,invalid_style,raise_on_error
missing,valid_syntax,omitted,valid,restricted,stdin,na,na,utf8_standard,valid_config,valid_builtin,valid_filter
na,empty,valid_match,valid,stdout,stdin,na,na,utf8_standard,malformed_syntax,ommited,omited
